Athlete,Age,Country,Year,Date,Sport,Gold,Silver,Bronze
Michael Phelps,23,United States,2008,24/08/2008,Swimming,8,0,0
Michael Phelps,19,United States,2004,29/08/2004,Swimming,6,0,2
Michael Phelps,27,United States,2012,12/8/12,Swimming,4,2,0
Natalie Coughlin,25,United States,2008,24/08/2008,Swimming,1,2,3
Aleksey Nemov,24,Russia,2000,1/10/00,Gymnastics,2,1,3
Alicia Coutts,24,Australia,2012,12/8/12,Swimming,1,3,1
Missy Franklin,17,United States,2012,12/8/12,Swimming,4,0,1
Ryan Lochte,27,United States,2012,12/8/12,Swimming,2,2,1
Allison Schmitt,22,United States,2012,12/8/12,Swimming,3,1,1
Natalie Coughlin,21,United States,2004,29/08/2004,Swimming,2,2,1
Ian Thorpe,17,Australia,2000,1/10/00,Swimming,3,2,0
Dara Torres,33,United States,2000,1/10/00,Swimming,2,0,3
Cindy Klassen,26,Canada,2006,26/02/2006,Speed Skating,1,2,2
Nastia Liukin,18,United States,2008,24/08/2008,Gymnastics,1,3,1
Marit Bjørgen,29,Norway,2010,28/02/2010,Cross Country Skiing,3,1,1
Sun Yang,20,China,2012,12/8/12,Swimming,2,1,1
Kirsty Coventry,24,Zimbabwe,2008,24/08/2008,Swimming,1,3,0
Libby Lenton-Trickett,23,Australia,2008,24/08/2008,Swimming,2,1,1
Ryan Lochte,24,United States,2008,24/08/2008,Swimming,2,0,2
Inge de Bruijn,30,Netherlands,2004,29/08/2004,Swimming,1,1,2
Petria Thomas,28,Australia,2004,29/08/2004,Swimming,3,1,0
Ian Thorpe,21,Australia,2004,29/08/2004,Swimming,2,1,1
Inge de Bruijn,27,Netherlands,2000,1/10/00,Swimming,3,1,0
Gary Hall Jr.,25,United States,2000,1/10/00,Swimming,2,1,1
Michael Klim,23,Australia,2000,1/10/00,Swimming,2,2,0
Susie O'Neill,27,Australia,2000,1/10/00,Swimming,1,3,0
Jenny Thompson,27,United States,2000,1/10/00,Swimming,3,0,1
Pieter van den Hoogenband,22,Netherlands,2000,1/10/00,Swimming,2,0,2
An Hyeon-Su,20,South Korea,2006,26/02/2006,Short-Track Speed Skating,3,0,1
Aliya Mustafina,17,Russia,2012,12/8/12,Gymnastics,1,1,2
Shawn Johnson,16,United States,2008,24/08/2008,Gymnastics,1,3,0
Dmitry Sautin,26,Russia,2000,1/10/00,Diving,1,1,2
Leontien Zijlaard-van Moorsel,30,Netherlands,2000,1/10/00,Cycling,3,1,0
Petter Northug Jr.,24,Norway,2010,28/02/2010,Cross Country Skiing,2,1,1
Ole Einar Bjørndalen,28,Norway,2002,24/02/2002,Biathlon,4,0,0
Janica Kostelic,20,Croatia,2002,24/02/2002,Alpine Skiing,3,1,0
Nathan Adrian,23,United States,2012,12/8/12,Swimming,2,1,0
Yannick Agnel,20,France,2012,12/8/12,Swimming,2,1,0
Brittany Elmslie,18,Australia,2012,12/8/12,Swimming,1,2,0
Matt Grevers,27,United States,2012,12/8/12,Swimming,2,1,0
Ryosuke Irie,22,Japan,2012,12/8/12,Swimming,0,2,1
Cullen Jones,28,United States,2012,12/8/12,Swimming,1,2,0
Ranomi Kromowidjojo,21,Netherlands,2012,12/8/12,Swimming,2,1,0
Camille Muffat,22,France,2012,12/8/12,Swimming,1,1,1
Mel Schlanger,25,Australia,2012,12/8/12,Swimming,1,2,0
Emily Seebohm,20,Australia,2012,12/8/12,Swimming,1,2,0
Rebecca Soni,25,United States,2012,12/8/12,Swimming,2,1,0
Satomi Suzuki,21,Japan,2012,12/8/12,Swimming,0,1,2
Dana Vollmer,24,United States,2012,12/8/12,Swimming,3,0,0
Alain Bernard,25,France,2008,24/08/2008,Swimming,1,1,1
László Cseh Jr.,22,Hungary,2008,24/08/2008,Swimming,0,3,0
Matt Grevers,23,United States,2008,24/08/2008,Swimming,2,1,0
Margaret Hoelzer,25,United States,2008,24/08/2008,Swimming,0,2,1
Katie Hoff,19,United States,2008,24/08/2008,Swimming,0,1,2
Leisel Jones,22,Australia,2008,24/08/2008,Swimming,2,1,0
Kosuke Kitajima,25,Japan,2008,24/08/2008,Swimming,2,0,1
Andrew Lauterstein,21,Australia,2008,24/08/2008,Swimming,0,1,2
Jason Lezak,32,United States,2008,24/08/2008,Swimming,2,0,1
Pang Jiaying,23,China,2008,24/08/2008,Swimming,0,1,2
Aaron Peirsol,25,United States,2008,24/08/2008,Swimming,2,1,0
Steph Rice,20,Australia,2008,24/08/2008,Swimming,3,0,0
Jess Schipper,21,Australia,2008,24/08/2008,Swimming,1,0,2
Rebecca Soni,21,United States,2008,24/08/2008,Swimming,1,2,0
Eamon Sullivan,22,Australia,2008,24/08/2008,Swimming,0,2,1
Dara Torres,41,United States,2008,24/08/2008,Swimming,0,3,0
Amanda Beard,22,United States,2004,29/08/2004,Swimming,1,2,0
Antje Buschschulte,25,Germany,2004,29/08/2004,Swimming,0,0,3
Kirsty Coventry,20,Zimbabwe,2004,29/08/2004,Swimming,1,1,1
Ian Crocker,21,United States,2004,29/08/2004,Swimming,1,1,1
Grant Hackett,24,Australia,2004,29/08/2004,Swimming,1,2,0
Brendan Hansen,22,United States,2004,29/08/2004,Swimming,1,1,1
Jodie Henry,20,Australia,2004,29/08/2004,Swimming,3,0,0
Otylia Jedrzejczak,20,Poland,2004,29/08/2004,Swimming,1,2,0
Leisel Jones,18,Australia,2004,29/08/2004,Swimming,1,1,1
Kosuke Kitajima,21,Japan,2004,29/08/2004,Swimming,2,0,1
Laure Manaudou,17,France,2004,29/08/2004,Swimming,1,1,1
Aaron Peirsol,21,United States,2004,29/08/2004,Swimming,3,0,0
Kaitlin Sandeno,21,United States,2004,29/08/2004,Swimming,1,1,1
Roland Schoeman,24,South Africa,2004,29/08/2004,Swimming,1,1,1
Pieter van den Hoogenband,26,Netherlands,2004,29/08/2004,Swimming,1,2,0
Therese Alshammar,23,Sweden,2000,1/10/00,Swimming,0,2,1
Yana Klochkova,18,Ukraine,2000,1/10/00,Swimming,2,1,0
Lenny Krayzelburg,24,United States,2000,1/10/00,Swimming,3,0,0
Massimiliano Rosolino,22,Italy,2000,1/10/00,Swimming,1,1,1
Petria Thomas,25,Australia,2000,1/10/00,Swimming,0,2,1
Matt Welsh,23,Australia,2000,1/10/00,Swimming,0,2,1
Lee Jeong-Su,20,South Korea,2010,28/02/2010,Short-Track Speed Skating,2,1,0
Apolo Anton Ohno,27,United States,2010,28/02/2010,Short-Track Speed Skating,0,1,2
Wang Meng,24,China,2010,28/02/2010,Short-Track Speed Skating,3,0,0
Jin Seon-Yu,17,South Korea,2006,26/02/2006,Short-Track Speed Skating,3,0,0
Lee Ho-Seok,19,South Korea,2006,26/02/2006,Short-Track Speed Skating,1,2,0
Apolo Anton Ohno,23,United States,2006,26/02/2006,Short-Track Speed Skating,1,0,2
Wang Meng,20,China,2006,26/02/2006,Short-Track Speed Skating,1,1,1
Marc Gagnon,26,Canada,2002,24/02/2002,Short-Track Speed Skating,2,0,1
Yang Yang (A),25,China,2002,24/02/2002,Short-Track Speed Skating,2,1,0
Stephanie Beckert,21,Germany,2010,28/02/2010,Speed Skating,1,2,0
Martina Sáblíková,22,Czech Republic,2010,28/02/2010,Speed Skating,2,0,1
Enrico Fabris,24,Italy,2006,26/02/2006,Speed Skating,2,0,1
Chad Hedrick,28,United States,2006,26/02/2006,Speed Skating,1,1,1
Jochem Uytdehaage,25,Netherlands,2002,24/02/2002,Speed Skating,2,1,0
Sabine Völker,28,Germany,2002,24/02/2002,Speed Skating,0,2,1
Gregor Schlierenzauer,20,Austria,2010,28/02/2010,Ski Jumping,1,0,2
Lars Bystøl,27,Norway,2006,26/02/2006,Ski Jumping,1,0,2
Johnny Spillane,29,United States,2010,28/02/2010,Nordic Combined,0,3,0
Felix Gottwald,30,Austria,2006,26/02/2006,Nordic Combined,2,1,0
Georg Hettich,27,Germany,2006,26/02/2006,Nordic Combined,1,1,1
Felix Gottwald,26,Austria,2002,24/02/2002,Nordic Combined,0,0,3
Samppa Lajunen,22,Finland,2002,24/02/2002,Nordic Combined,3,0,0
Aly Raisman,18,United States,2012,12/8/12,Gymnastics,2,0,1
Kohei Uchimura,23,Japan,2012,12/8/12,Gymnastics,1,2,0
Zou Kai,24,China,2012,12/8/12,Gymnastics,2,0,1
Cheng Fei,20,China,2008,24/08/2008,Gymnastics,1,0,2
Yang Wei,28,China,2008,24/08/2008,Gymnastics,2,1,0
Yang Yilin,15,China,2008,24/08/2008,Gymnastics,1,0,2
Zou Kai,20,China,2008,24/08/2008,Gymnastics,3,0,0
Marian Dragulescu,23,Romania,2004,29/08/2004,Gymnastics,0,1,2
Paul Hamm,21,United States,2004,29/08/2004,Gymnastics,1,2,0
Carly Patterson,16,United States,2004,29/08/2004,Gymnastics,1,2,0
Catalina Ponor,16,Romania,2004,29/08/2004,Gymnastics,3,0,0
Simona Amânar,20,Romania,2000,1/10/00,Gymnastics,2,0,1
Svetlana Khorkina,21,Russia,2000,1/10/00,Gymnastics,1,2,0
Yekaterina Lobaznyuk,17,Russia,2000,1/10/00,Gymnastics,0,2,1
Yelena Zamolodchikova,17,Russia,2000,1/10/00,Gymnastics,2,1,0
Guo Shuang,26,China,2012,12/8/12,Cycling,0,2,1
Chris Hoy,32,Great Britain,2008,24/08/2008,Cycling,3,0,0
Bradley Wiggins,24,Great Britain,2004,29/08/2004,Cycling,1,1,1
Florian Rousseau,26,France,2000,1/10/00,Cycling,2,1,0
Justyna Kowalczyk,27,Poland,2010,28/02/2010,Cross Country Skiing,1,1,1
Johan Olsson,29,Sweden,2010,28/02/2010,Cross Country Skiing,1,0,2
Stefania Belmondo,33,Italy,2002,24/02/2002,Cross Country Skiing,1,1,1
Yuliya Chepalova,25,Russia,2002,24/02/2002,Cross Country Skiing,1,1,1
Frode Estil,29,Norway,2002,24/02/2002,Cross Country Skiing,2,1,0
Bente Skari-Martinsen,29,Norway,2002,24/02/2002,Cross Country Skiing,1,1,1
Magdalena Neuner,23,Germany,2010,28/02/2010,Biathlon,2,1,0
Emil Hegle Svendsen,24,Norway,2010,28/02/2010,Biathlon,2,1,0
Albina Akhatova,29,Russia,2006,26/02/2006,Biathlon,1,0,2
Ole Einar Bjørndalen,32,Norway,2006,26/02/2006,Biathlon,0,2,1
Sven Fischer,34,Germany,2006,26/02/2006,Biathlon,2,0,1
Martina Glagow-Beck,26,Germany,2006,26/02/2006,Biathlon,0,3,0
Michael Greis,29,Germany,2006,26/02/2006,Biathlon,3,0,0
Kati Wilhelm,29,Germany,2006,26/02/2006,Biathlon,1,2,0
Kati Wilhelm,25,Germany,2002,24/02/2002,Biathlon,2,1,0
Yohan Blake,22,Jamaica,2012,12/8/12,Athletics,1,2,0
Usain Bolt,25,Jamaica,2012,12/8/12,Athletics,3,0,0
Allyson Felix,26,United States,2012,12/8/12,Athletics,3,0,0
Shelly-Ann Fraser-Pryce,25,Jamaica,2012,12/8/12,Athletics,1,2,0
Carmelita Jeter,32,United States,2012,12/8/12,Athletics,1,1,1
Usain Bolt,21,Jamaica,2008,24/08/2008,Athletics,3,0,0
Veronica Campbell-Brown,22,Jamaica,2004,29/08/2004,Athletics,2,0,1
Justin Gatlin,22,United States,2004,29/08/2004,Athletics,1,1,1
Bode Miller,32,United States,2010,28/02/2010,Alpine Skiing,1,1,1
Aksel Lund Svindal,27,Norway,2010,28/02/2010,Alpine Skiing,1,1,1
Anja Pärson,24,Sweden,2006,26/02/2006,Alpine Skiing,1,0,2
Stephan Eberharter,32,Austria,2002,24/02/2002,Alpine Skiing,1,1,1
Ding Ning,22,China,2012,12/8/12,Table Tennis,1,1,0
Feng Tian Wei,25,Singapore,2012,12/8/12,Table Tennis,0,0,2
Li Xiaoxia,24,China,2012,12/8/12,Table Tennis,2,0,0
Dmitrij Ovtcharov,23,Germany,2012,12/8/12,Table Tennis,0,0,2
Wang Hao,28,China,2012,12/8/12,Table Tennis,1,1,0
Zhang Jike,24,China,2012,12/8/12,Table Tennis,2,0,0
Guo Yue,20,China,2008,24/08/2008,Table Tennis,1,0,1
Ma Lin,28,China,2008,24/08/2008,Table Tennis,2,0,0
Wang Hao,24,China,2008,24/08/2008,Table Tennis,1,1,0
Wang Liqin,30,China,2008,24/08/2008,Table Tennis,1,0,1
Wang Nan,29,China,2008,24/08/2008,Table Tennis,1,1,0
Zhang Yining,26,China,2008,24/08/2008,Table Tennis,2,0,0
Zhang Yining,22,China,2004,29/08/2004,Table Tennis,2,0,0
Kong Linghui,24,China,2000,1/10/00,Table Tennis,1,1,0
Li Ju,24,China,2000,1/10/00,Table Tennis,1,1,0
Liu Guoliang,24,China,2000,1/10/00,Table Tennis,0,1,1
Wang Nan,21,China,2000,1/10/00,Table Tennis,2,0,0
Viktoriya Azarenko,22,Belarus,2012,12/8/12,Tennis,1,0,1
Mike Bryan,34,United States,2012,12/8/12,Tennis,1,0,1
Andy Murray,25,Great Britain,2012,12/8/12,Tennis,1,1,0
Serena Williams,30,United States,2012,12/8/12,Tennis,2,0,0
Fernando González,24,Chile,2004,29/08/2004,Tennis,1,0,1
Nicolás Massú,26,Chile,2004,29/08/2004,Tennis,2,0,0
Venus Williams,20,United States,2000,1/10/00,Tennis,2,0,0
Ona Carbonell,22,Spain,2012,12/8/12,Synchronized Swimming,0,1,1
Andrea Fuentes,29,Spain,2012,12/8/12,Synchronized Swimming,0,1,1
Huang Xuechen,22,China,2012,12/8/12,Synchronized Swimming,0,1,1
Nataliya Ishchenko,26,Russia,2012,12/8/12,Synchronized Swimming,2,0,0
Liu Ou,25,China,2012,12/8/12,Synchronized Swimming,0,1,1
Svetlana Romashina,22,Russia,2012,12/8/12,Synchronized Swimming,2,0,0
Anastasiya Davydova,25,Russia,2008,24/08/2008,Synchronized Swimming,2,0,0
Andrea Fuentes,25,Spain,2008,24/08/2008,Synchronized Swimming,0,2,0
Gemma Mengual,31,Spain,2008,24/08/2008,Synchronized Swimming,0,2,0
Anastasiya Yermakova,25,Russia,2008,24/08/2008,Synchronized Swimming,2,0,0
Alison Bartosik,21,United States,2004,29/08/2004,Synchronized Swimming,0,0,2
Anastasiya Davydova,21,Russia,2004,29/08/2004,Synchronized Swimming,2,0,0
Anna Kozlova,31,United States,2004,29/08/2004,Synchronized Swimming,0,0,2
Miya Tachibana,29,Japan,2004,29/08/2004,Synchronized Swimming,0,2,0
Miho Takeda,27,Japan,2004,29/08/2004,Synchronized Swimming,0,2,0
Anastasiya Yermakova,21,Russia,2004,29/08/2004,Synchronized Swimming,2,0,0
Olga Brusnikina,21,Russia,2000,1/10/00,Synchronized Swimming,2,0,0
Mariya Kiselyova,25,Russia,2000,1/10/00,Synchronized Swimming,2,0,0
Miya Tachibana,25,Japan,2000,1/10/00,Synchronized Swimming,0,2,0
Miho Takeda,24,Japan,2000,1/10/00,Synchronized Swimming,0,2,0
Becky Adlington,23,Great Britain,2012,12/8/12,Swimming,0,0,2
Bronte Barratt,23,Australia,2012,12/8/12,Swimming,0,1,1
Elizabeth Beisel,19,United States,2012,12/8/12,Swimming,0,1,1
Mireia Belmonte,21,Spain,2012,12/8/12,Swimming,0,2,0
Ricky Berens,24,United States,2012,12/8/12,Swimming,1,1,0
Aleksandra Gerasimenya,26,Belarus,2012,12/8/12,Swimming,0,2,0
Brendan Hansen,30,United States,2012,12/8/12,Swimming,1,0,1
Jessica Hardy,25,United States,2012,12/8/12,Swimming,1,0,1
Chad le Clos,20,South Africa,2012,12/8/12,Swimming,1,1,0
Clément Lefert,24,France,2012,12/8/12,Swimming,1,1,0
Amaury Leveaux,26,France,2012,12/8/12,Swimming,1,1,0
James Magnussen,21,Australia,2012,12/8/12,Swimming,0,1,1
Takeshi Matsuda,28,Japan,2012,12/8/12,Swimming,0,1,1
Oussama Mellouli,28,Tunisia,2012,12/8/12,Swimming,1,0,1
Park Tae-Hwan,22,South Korea,2012,12/8/12,Swimming,0,2,0
Christian Sprenger,26,Australia,2012,12/8/12,Swimming,0,1,1
Jeremy Stravius,24,France,2012,12/8/12,Swimming,1,1,0
Aya Terakawa,27,Japan,2012,12/8/12,Swimming,0,0,2
Nick Thoman,26,United States,2012,12/8/12,Swimming,1,1,0
Marleen Veldhuis,33,Netherlands,2012,12/8/12,Swimming,0,1,1
Ye Shiwen,16,China,2012,12/8/12,Swimming,2,0,0
Becky Adlington,19,Great Britain,2008,24/08/2008,Swimming,2,0,0
Leith Brodie,22,Australia,2008,24/08/2008,Swimming,0,0,2
Cate Campbell,16,Australia,2008,24/08/2008,Swimming,0,0,2
César Cielo Filho,21,Brazil,2008,24/08/2008,Swimming,1,0,1
Hugues Duboscq,26,France,2008,24/08/2008,Swimming,0,0,2
Felicity Galvez,23,Australia,2008,24/08/2008,Swimming,2,0,0
Grant Hackett,28,Australia,2008,24/08/2008,Swimming,0,1,1
Kara Lynn Joyce,22,United States,2008,24/08/2008,Swimming,0,2,0
Amaury Leveaux,22,France,2008,24/08/2008,Swimming,0,2,0
Christine Magnuson,22,United States,2008,24/08/2008,Swimming,0,2,0
Patrick Murphy,24,Australia,2008,24/08/2008,Swimming,0,0,2
Park Tae-Hwan,18,South Korea,2008,24/08/2008,Swimming,1,1,0
Shayne Reese,25,Australia,2008,24/08/2008,Swimming,1,0,1
Brenton Rickard,24,Australia,2008,24/08/2008,Swimming,0,2,0
Mel Schlanger,21,Australia,2008,24/08/2008,Swimming,1,0,1
Julia Smit,20,United States,2008,24/08/2008,Swimming,0,1,1
Britta Steffen,24,Germany,2008,24/08/2008,Swimming,2,0,0
Hayden Stoeckel,24,Australia,2008,24/08/2008,Swimming,0,1,1
Matt Targett,22,Australia,2008,24/08/2008,Swimming,0,1,1
Peter Vanderkaay,24,United States,2008,24/08/2008,Swimming,1,0,1
Arkady Vyachanin,24,Russia,2008,24/08/2008,Swimming,0,0,2
Garrett Weber-Gale,23,United States,2008,24/08/2008,Swimming,2,0,0
Lindsay Benko,27,United States,2004,29/08/2004,Swimming,1,1,0
Gary Hall Jr.,29,United States,2004,29/08/2004,Swimming,1,0,1
Brooke Hanson,26,Australia,2004,29/08/2004,Swimming,1,1,0
Kara Lynn Joyce,18,United States,2004,29/08/2004,Swimming,0,2,0
Klete Keller,22,United States,2004,29/08/2004,Swimming,1,0,1
Yana Klochkova,22,Ukraine,2004,29/08/2004,Swimming,2,0,0
Rachel Komisarz,27,United States,2004,29/08/2004,Swimming,1,1,0
Libby Lenton-Trickett,19,Australia,2004,29/08/2004,Swimming,1,0,1
Jason Lezak,28,United States,2004,29/08/2004,Swimming,1,0,1
Ryan Lochte,20,United States,2004,29/08/2004,Swimming,1,1,0
Alice Mills,18,Australia,2004,29/08/2004,Swimming,2,0,0
Tomomi Morita,19,Japan,2004,29/08/2004,Swimming,0,0,2
Markus Rogan,22,Austria,2004,29/08/2004,Swimming,0,2,0
Jenny Thompson,31,United States,2004,29/08/2004,Swimming,0,2,0
Franziska van Almsick,26,Germany,2004,29/08/2004,Swimming,0,0,2
Neil Walker,28,United States,2004,29/08/2004,Swimming,1,0,1
Amanda Weir,18,United States,2004,29/08/2004,Swimming,0,2,0
Takashi Yamamoto,26,Japan,2004,29/08/2004,Swimming,0,1,1
Brooke Bennett,20,United States,2000,1/10/00,Swimming,2,0,0
Beatrice Coada-Caslaru,25,Romania,2000,1/10/00,Swimming,0,1,1
Josh Davis,28,United States,2000,1/10/00,Swimming,0,2,0
Tom Dolan,25,United States,2000,1/10/00,Swimming,1,1,0
Anthony Ervin,19,United States,2000,1/10/00,Swimming,1,1,0
Domenico Fioravanti,23,Italy,2000,1/10/00,Swimming,2,0,0
Grant Hackett,20,Australia,2000,1/10/00,Swimming,2,0,0
Geoff Huegill,21,Australia,2000,1/10/00,Swimming,0,1,1
Leisel Jones,15,Australia,2000,1/10/00,Swimming,0,2,0
Klete Keller,18,United States,2000,1/10/00,Swimming,0,1,1
Jason Lezak,24,United States,2000,1/10/00,Swimming,1,1,0
Diana Mocanu,16,Romania,2000,1/10/00,Swimming,2,0,0
Martina Moravcová,24,Slovakia,2000,1/10/00,Swimming,0,2,0
Ed Moses,20,United States,2000,1/10/00,Swimming,1,1,0
Diana Munz,18,United States,2000,1/10/00,Swimming,1,1,0
Mai Nakamura,21,Japan,2000,1/10/00,Swimming,0,1,1
Todd Pearson,22,Australia,2000,1/10/00,Swimming,2,0,0
Adam Pine,24,Australia,2000,1/10/00,Swimming,1,1,0
Claudia Poll,27,Costa Rica,2000,1/10/00,Swimming,0,0,2
Megan Quann-Jendrick,16,United States,2000,1/10/00,Swimming,2,0,0
Giaan Rooney,17,Australia,2000,1/10/00,Swimming,0,2,0
Courtney Shealy,22,United States,2000,1/10/00,Swimming,2,0,0
Ashley Tappin,25,United States,2000,1/10/00,Swimming,2,0,0
Stev Theloke,22,Germany,2000,1/10/00,Swimming,0,0,2
Amy Van Dyken,27,United States,2000,1/10/00,Swimming,2,0,0
Neil Walker,24,United States,2000,1/10/00,Swimming,1,1,0
J. R. Celski,19,United States,2010,28/02/2010,Short-Track Speed Skating,0,0,2
Charles Hamelin,25,Canada,2010,28/02/2010,Short-Track Speed Skating,2,0,0
Lee Ho-Seok,23,South Korea,2010,28/02/2010,Short-Track Speed Skating,0,2,0
Park Seung-Hui,17,South Korea,2010,28/02/2010,Short-Track Speed Skating,0,0,2
Katherine Reutter,21,United States,2010,28/02/2010,Short-Track Speed Skating,0,1,1
Seong Si-Baek,22,South Korea,2010,28/02/2010,Short-Track Speed Skating,0,2,0
Marianne St-Gelais,19,Canada,2010,28/02/2010,Short-Track Speed Skating,0,2,0
François-Louis Tremblay,29,Canada,2010,28/02/2010,Short-Track Speed Skating,1,0,1
Zhou Yang,18,China,2010,28/02/2010,Short-Track Speed Skating,2,0,0
Choi Eun-Gyeong,21,South Korea,2006,26/02/2006,Short-Track Speed Skating,1,1,0
Anouk Leblanc-Boucher,21,Canada,2006,26/02/2006,Short-Track Speed Skating,0,1,1
François-Louis Tremblay,25,Canada,2006,26/02/2006,Short-Track Speed Skating,0,2,0
Choi Eun-Gyeong,17,South Korea,2002,24/02/2002,Short-Track Speed Skating,1,1,0
Go Gi-Hyeon,15,South Korea,2002,24/02/2002,Short-Track Speed Skating,1,1,0
Jonathan Guilmette,23,Canada,2002,24/02/2002,Short-Track Speed Skating,1,1,0
Li Jiajun,26,China,2002,24/02/2002,Short-Track Speed Skating,0,1,1
Apolo Anton Ohno,19,United States,2002,24/02/2002,Short-Track Speed Skating,1,1,0
Evgeniya Radanova,24,Bulgaria,2002,24/02/2002,Short-Track Speed Skating,0,1,1
Mathieu Turcotte,25,Canada,2002,24/02/2002,Short-Track Speed Skating,1,0,1
Wang Chunlu,23,China,2002,24/02/2002,Short-Track Speed Skating,0,1,1
Yang Yang (S),24,China,2002,24/02/2002,Short-Track Speed Skating,0,1,1
Shani Davis,27,United States,2010,28/02/2010,Speed Skating,1,1,0
Kristina Groves,33,Canada,2010,28/02/2010,Speed Skating,0,1,1
Chad Hedrick,32,United States,2010,28/02/2010,Speed Skating,0,1,1
Sven Kramer,23,Netherlands,2010,28/02/2010,Speed Skating,1,0,1
Lee Seung-Hun,21,South Korea,2010,28/02/2010,Speed Skating,1,1,0
Mo Tae-Beom,21,South Korea,2010,28/02/2010,Speed Skating,1,1,0
Ivan Skobrev,27,Russia,2010,28/02/2010,Speed Skating,0,1,1
Mark Tuitert,29,Netherlands,2010,28/02/2010,Speed Skating,1,0,1
Joey Cheek,26,United States,2006,26/02/2006,Speed Skating,1,1,0
Shani Davis,23,United States,2006,26/02/2006,Speed Skating,1,1,0
Anni Friesinger-Postma,29,Germany,2006,26/02/2006,Speed Skating,1,0,1
Kristina Groves,29,Canada,2006,26/02/2006,Speed Skating,0,2,0
Clara Hughes,33,Canada,2006,26/02/2006,Speed Skating,1,1,0
Sven Kramer,19,Netherlands,2006,26/02/2006,Speed Skating,0,1,1
Claudia Pechstein,33,Germany,2006,26/02/2006,Speed Skating,1,1,0
Carl Verheijen,30,Netherlands,2006,26/02/2006,Speed Skating,0,0,2
Erben Wennemars,30,Netherlands,2006,26/02/2006,Speed Skating,0,0,2
Ireen Wüst,19,Netherlands,2006,26/02/2006,Speed Skating,1,0,1
Derek Parra,31,United States,2002,24/02/2002,Speed Skating,1,1,0
Claudia Pechstein,29,Germany,2002,24/02/2002,Speed Skating,2,0,0
Jennifer Rodriguez,25,United States,2002,24/02/2002,Speed Skating,0,0,2
Simon Ammann,28,Switzerland,2010,28/02/2010,Ski Jumping,2,0,0
Adam Malysz,32,Poland,2010,28/02/2010,Ski Jumping,0,2,0
Matti Hautamäki,24,Finland,2006,26/02/2006,Ski Jumping,0,2,0
Andreas Kofler,21,Austria,2006,26/02/2006,Ski Jumping,1,1,0
Roar Ljøkelsøy,29,Norway,2006,26/02/2006,Ski Jumping,0,0,2
Thomas Morgenstern,19,Austria,2006,26/02/2006,Ski Jumping,2,0,0
Simon Ammann,20,Switzerland,2002,24/02/2002,Ski Jumping,2,0,0
Sven Hannawald,27,Germany,2002,24/02/2002,Ski Jumping,1,1,0
Matti Hautamäki,20,Finland,2002,24/02/2002,Ski Jumping,0,1,1
Adam Malysz,24,Poland,2002,24/02/2002,Ski Jumping,0,1,1
Niccolò Campriani,24,Italy,2012,12/8/12,Shooting,1,1,0
Jin Jong-O,32,South Korea,2012,12/8/12,Shooting,2,0,0
Olena Kostevych,27,Ukraine,2012,12/8/12,Shooting,0,0,2
Jin Jong-O,28,South Korea,2008,24/08/2008,Shooting,1,1,0
Katerina Kurková-Emmons,24,Czech Republic,2008,24/08/2008,Shooting,1,1,0
Lyubov Galkina,31,Russia,2004,29/08/2004,Shooting,1,1,0
Mariya Grozdeva,32,Bulgaria,2004,29/08/2004,Shooting,1,0,1
Lee Bo-Na,23,South Korea,2004,29/08/2004,Shooting,0,1,1
Mikhail Nestruyev,35,Russia,2004,29/08/2004,Shooting,1,1,0
Igor Basinsky,37,Belarus,2000,1/10/00,Shooting,0,1,1
Tao Luna,26,China,2000,1/10/00,Shooting,1,1,0
Kim Crow,26,Australia,2012,12/8/12,Rowing,0,1,1
Georgeta Damian-Andrunache,32,Romania,2008,24/08/2008,Rowing,1,0,1
Viorica Susanu,32,Romania,2008,24/08/2008,Rowing,1,0,1
Georgeta Damian-Andrunache,28,Romania,2004,29/08/2004,Rowing,2,0,0
Viorica Susanu,28,Romania,2004,29/08/2004,Rowing,2,0,0
Georgeta Damian-Andrunache,24,Romania,2000,1/10/00,Rowing,2,0,0
Doina Ignat,31,Romania,2000,1/10/00,Rowing,2,0,0
Pieta van Dishoeck,28,Netherlands,2000,1/10/00,Rowing,0,2,0
Eeke van Nes,31,Netherlands,2000,1/10/00,Rowing,0,2,0
Bill Demong,29,United States,2010,28/02/2010,Nordic Combined,1,1,0
Bernhard Gruber,27,Austria,2010,28/02/2010,Nordic Combined,1,0,1
Magnus Moan,22,Norway,2006,26/02/2006,Nordic Combined,0,1,1
Ronny Ackermann,24,Germany,2002,24/02/2002,Nordic Combined,0,2,0
Jaakko Tallus,20,Finland,2002,24/02/2002,Nordic Combined,1,1,0
Denis Ablyazin,19,Russia,2012,12/8/12,Gymnastics,0,1,1
Chen Yibing,27,China,2012,12/8/12,Gymnastics,1,1,0
Gabby Douglas,16,United States,2012,12/8/12,Gymnastics,2,0,0
Feng Zhe,24,China,2012,12/8/12,Gymnastics,2,0,0
Sandra Izbasa,22,Romania,2012,12/8/12,Gymnastics,1,0,1
Viktoriya Komova,17,Russia,2012,12/8/12,Gymnastics,0,2,0
McKayla Maroney,16,United States,2012,12/8/12,Gymnastics,1,1,0
Marcel Nguyen,24,Germany,2012,12/8/12,Gymnastics,0,2,0
Mariya Paseka,17,Russia,2012,12/8/12,Gymnastics,0,1,1
Catalina Ponor,24,Romania,2012,12/8/12,Gymnastics,0,1,1
